language_id,name,glottocode,clade,glottolog_path,n_forms
idssegmented-sui,Sui,suii1243,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/suii1243,1521
idssegmented-maonan,Maonan,maon1241,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/maon1240/maon1241,1176
idssegmented-mulam,Mulam,mula1253,kam_sui,taik1256/kamt1241/kams1241/mula1252/mula1253,1145
idssegmented-chadong,Chadong,chad1240,kam_sui,taik1256/kamt1241/kams1241/then1235/maon1239/maon1240/chad1240,1259
idssegmented-southernkam,Southern Kam,sout2741,kam_sui,taik1256/kamt1241/kams1241/mula1252/kami1255/sout2741,1401
idssegmented-lakkia,Lakkia,lakk1238,lakkia_biao,taik1256/kamt1241/lakk1237/lakk1238,1412
idssegmented-hlaibaotingvariety,Hlai (Baoting variety),hlai1239,hlai,taik1256/hlai1238/nucl1241/hlai1239,1280
idssegmented-langjabuyang,Langja Buyang,emab1235,kra,taik1256/kada1291/east2365/buya1244/nort2744/emab1235,1152
idssegmented-ecunbuyang,Ecun Buyang,lang1316,kra,taik1256/kada1291/east2365/buya1244/nort2744/lang1316,1112
idssegmented-sanchongkelao,Sanchong Kelao,gree1278,kra,taik1256/kada1291/sout3143/west2798/gaui1234/gela1265/sout2749/gree1278,1022
idssegmented-qaukelao,Qau Kelao,qaua1234,kra,taik1256/kada1291/sout3143/west2798/gaui1234/gela1265/qaua1234,1121
johanssonsoundsymbolic-ThaiDialectKorat,Thai (Dialect Korat),thai1261,tai,taik1256/kamt1241/daic1238/daic1237/cent2251/wenm1239/sapa1255/sout3184/sput1235/laot1235/thai1261,334
wold-Thai,Thai,thai1261,tai,taik1256/kamt1241/daic1238/daic1237/cent2251/wenm1239/sapa1255/sout3184/sput1235/laot1235/thai1261,2107
chingelong-Xifang,Xifang Hlai,hlai1239,hlai,taik1256/hlai1238/nucl1241/hlai1239,101
chingelong-Baisha,Baisha Hlai,hlai1239,hlai,taik1256/hlai1238/nucl1241/hlai1239,101
chingelong-Yuanmen,Yuanmen Hlai,hlai1239,hlai,taik1256/hlai1238/nucl1241/hlai1239,99
chingelong-Heitu,Heitu Hlai,hlai1239,hlai,taik1256/hlai1238/nucl1241/hlai1239,98
chingelong-Baoding,Baoding Hlai,hlai1239,hlai,taik1256/hlai1238/nucl1241/hlai1239,100
chingelong-Zhongsha,Zhongsha Hlai,hlai1239,hlai,taik1256/hlai1238/nucl1241/hlai1239,100
chingelong-Tongzha,Tongzha Hlai,hlai1239,hlai,taik1256/hlai1238/nucl1241/hlai1239,100
chingelong-Qiandui,Quiandui Hlai,hlai1239,hlai,taik1256/hlai1238/nucl1241/hlai1239,98
chingelong-Baocheng,Baocheng Hlai,hlai1239,hlai,taik1256/hlai1238/nucl1241/hlai1239,97
duonglachi-BanPhungLaChi,La Chí Bản Phùng,lach1248,kra,taik1256/kada1291/sout3143/west2798/lach1247/lach1248,104
duonglachi-BanDiuLaChi,La Chí Bản Díu,lach1248,kra,taik1256/kada1291/sout3143/west2798/lach1247/lach1248,100
duonglachi-NungDinLaChi,Nùng Dín,nung1283,tai,taik1256/kamt1241/daic1238/daic1237/cent2251/deba1238/nung1283,103
joophonosemantic-Thai,Thai,thai1261,tai,taik1256/kamt1241/daic1238/daic1237/cent2251/wenm1239/sapa1255/sout3184/sput1235/laot1235/thai1261,97
