language_id,name,glottocode,clade,glottolog_path,n_forms
abvdoceanic-Bilibil_402,Bilibil,bilb1241,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/belr1234/bell1262/nucl1510/bilb1241,148
abvdoceanic-Saliba_404,Saliba,sali1295,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/papu1253/suau1243/suau1245/nucl1852/sali1295,234
abvdoceanic-Nahavaq_453,Nahavaq,sout2857,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/mala1539/west2871/peri1262/sout3240/sout3197/sout2857,190
abvdoceanic-Avava_456,Avava,katb1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/mala1539/west2871/peri1262/sout3240/katb1237,241
abvdoceanic-Naman_457,Naman,litz1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/mala1539/west2871/cent2316/litz1237,216
abvdoceanic-Nese_459,Nese,nese1235,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/mala1539/nort3223/nort3230/nese1235,173
abvdoceanic-Tape_460,Tape,mara1399,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/mala1539/west2871/peri1262/nort3261/mara1399,217
abvdoceanic-SyeErromangan_463,Sye (Erromangan),siee1239,oceanic,aust1307/mala1545/east2712/ocea1241/sout3173/sout2868/erro1239/siee1239,203
abvdoceanic-Ura_464,Ura,urav1235,oceanic,aust1307/mala1545/east2712/ocea1241/sout3173/sout2868/erro1239/urav1235,189
abvdoceanic-ArakiSouthwestSanto_465,Araki (Southwest Santo),arak1252,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/sout3339/arak1257/arak1252,169
abvdoceanic-Merei_470,Merei,mere1242,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/tial1241/mere1242,185
abvdoceanic-Iaai_471,Iaai,iaai1238,oceanic,aust1307/mala1545/east2712/ocea1241/sout3173/newc1243/loya1239/iaai1238,214
abvdoceanic-Simbo_473,Simbo,simb1256,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/newg1239/west2857/simb1260/simb1256,219
abvdoceanic-Uruava_474,Uruava,urua1242,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/mono1280/urua1242,234
abvdoceanic-Namakir_475,Namakir,nama1268,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/epie1239/efat1241/nama1268,207
abvdoceanic-Orkon_476,Orkon,orko1234,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/ambr1240/port1292/orko1234,176
abvdoceanic-Kwamera_477,Kwamera,kwam1252,oceanic,aust1307/mala1545/east2712/ocea1241/sout3173/sout2868/tann1242/sout3195/kwam1252,203
abvdoceanic-Neveei_484,Neve'ei,vinm1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/mala1539/west2871/cent2316/vinm1237,224
abvdoceanic-Aiwoo_501,Äiwoo,ayiw1239,oceanic,aust1307/mala1545/east2712/ocea1241/temo1244/reef1242/ayiw1239,300
abvdoceanic-Nanggu_502,Nanggu,nang1262,oceanic,aust1307/mala1545/east2712/ocea1241/temo1244/reef1242/nang1262,184
abvdoceanic-Luqa_509,Luqa,lung1249,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/newg1239/west2857/simb1260/ghan1246/lung1249,226
abvdoceanic-SivisaTitan_510,Sivisa Titan,tita1241,oceanic,aust1307/mala1545/east2712/ocea1241/admi1239/east2459/manu1262/east2460/koro1314/tita1241,185
abvdoceanic-Gumawana_511,Gumawana,guma1254,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nort2848/guma1254,212
abvdoceanic-WesternFijianNavosa_512,Western Fijian (Navosa),west2519,oceanic,aust1307/mala1545/east2712/ocea1241/cent2060/west2518/west2519,194
abvdoceanic-Tawaroga_516,Tawaroga,kahu1241,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/mala1485/mala1540/sanc1243/kahu1241,178
abvdoceanic-Ughele_518,Ughele,ughe1237,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/newg1239/east2761/ughe1237,187
abvdoceanic-Nduke_521,Nduke,duke1237,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/newg1239/west2857/duke1237,228
abvdoceanic-Kusaghe_528,Kusaghe,kusa1251,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/newg1239/east2761/rovi1239/hoav1239/kusa1251,173
abvdoceanic-Dorio_532,Dori'o,dori1246,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/mala1485/mala1540/mala1542/sout3198/dori1246,181
abvdoceanic-Vangunu_535,Vangunu,vang1243,oceanic,aust1307/mala1545/east2712/ocea1241/west2818/meso1253/newi1242/stge1234/nort3225/newg1239/east2761/maro1247/vang1243,181
abvdoceanic-Malango_542,Malango,mala1484,oceanic,aust1307/mala1545/east2712/ocea1241/sout2853/guad1241/nucl1470/nort2832/mala1484,198
