rank,concept_id,name,concepticon_gloss,concepticon_id,n_tk,n_an,min_langs,core_pilot
122,intestines,INTESTINES,INTESTINES,1991,59,751,59,1
123,steal,STEAL,STEAL,713,59,745,59,1
124,shoulder,SHOULDER,SHOULDER,1482,59,739,59,1
125,buy,BUY,BUY,1869,59,608,59,1
126,open,OPEN,OPEN,1156,59,583,59,1
127,fog,FOG,FOG,249,59,567,59,1
128,choose,CHOOSE,CHOOSE,1750,59,424,59,1
129,hundred,HUNDRED,HUNDRED,1634,59,410,59,1
130,leg,LEG,LEG,1297,59,149,59,1
131,sing,SING,SING,1261,59,149,59,1
132,wash,WASH,WASH,1453,59,148,59,1
133,pull,PULL,PULL,1455,59,147,59,1
134,pig,PIG,PIG,1337,59,114,59,1
135,cave,CAVE,CAVE,1155,59,105,59,1
136,sugarcane,SUGAR CANE,SUGAR CANE,146,59,88,59,1
137,morning,MORNING,MORNING,1339,59,87,59,1
138,beard,BEARD,BEARD,678,59,84,59,1
139,chicken,CHICKEN,CHICKEN,1318,59,84,59,1
140,tomorrow,TOMORROW,TOMORROW,1329,59,84,59,1
141,tired,TIRED,TIRED,1757,59,83,59,1
142,village,VILLAGE,VILLAGE,930,59,83,59,1
143,love,LOVE,LOVE,923,59,79,59,1
144,mother,MOTHER,MOTHER,1216,58,957,58,1
145,father,FATHER,FATHER,1217,58,954,58,1
146,sew,SEW,SEW,1457,58,791,58,1
147,climb,CLIMB,CLIMB,1102,58,623,58,1
148,weinclusive,WE (INCLUSIVE),WE (INCLUSIVE),1131,58,263,58,1
149,olderbrother,OLDER BROTHER,OLDER BROTHER,1759,58,96,58,1
150,snow,SNOW,SNOW,784,58,62,58,1
151,hear,HEAR,HEAR,1408,57,946,57,1
152,smokeexhaust,SMOKE (EXHAUST),SMOKE (EXHAUST),778,57,929,57,1
153,stand,STAND,STAND,1442,57,915,57,1
154,butterfly,BUTTERFLY,BUTTERFLY,1791,57,88,57,1
155,woman,WOMAN,WOMAN,962,56,155,56,1
156,bow,BOW,BOW,994,56,87,56,1
157,round,ROUND,ROUND,1395,56,71,56,1
158,sit,SIT,SIT,1416,54,922,54,1
159,louse,LOUSE,LOUSE,1392,54,920,54,1
160,see,SEE,SEE,1409,52,930,52,1
161,feather,FEATHER,FEATHER,1201,51,861,51,1
162,that,THAT,THAT,78,48,624,48,1
163,die,DIE,DIE,1494,48,146,48,1
164,mountain,MOUNTAIN,MOUNTAIN,639,47,145,47,1
165,this,THIS,THIS,1214,46,763,46,1
166,not,NOT,NOT,1240,46,65,46,1
167,belly,BELLY,BELLY,1251,45,950,45,1
168,back,BACK,BACK,1291,45,933,45,1
169,house,HOUSE,HOUSE,1252,45,897,45,1
170,tie,TIE,TIE,1917,45,152,45,1
171,stone,STONE,STONE,857,44,956,44,1
172,spit,SPIT,SPIT,1440,44,862,44,1
173,rotten,ROTTEN,ROTTEN,1728,44,845,44,1
174,dust,DUST,DUST,2,44,834,44,1
175,correctright,CORRECT (RIGHT),CORRECT (RIGHT),1725,44,803,44,1
176,liedown,LIE DOWN,LIE DOWN,215,44,757,44,1
177,how,HOW,HOW,1239,44,742,44,1
178,blunt,BLUNT,BLUNT,379,44,695,44,1
179,wide,WIDE,WIDE,1243,44,331,44,1
180,brain,BRAIN,BRAIN,1583,44,84,44,1
181,empty,EMPTY,EMPTY,1624,44,84,44,1
182,weak,WEAK,WEAK,1601,44,84,44,1
183,blue,BLUE,BLUE,837,44,73,44,1
184,sea,SEA,SEA,1474,43,935,43,1
185,fall,FALL,FALL,1280,43,901,43,1
186,count,COUNT,COUNT,1420,43,884,43,1
187,dig,DIG,DIG,1418,43,884,43,1
188,mosquito,MOSQUITO,MOSQUITO,1509,43,875,43,1
189,when,WHEN,WHEN,1238,43,869,43,1
190,squeeze,SQUEEZE,SQUEEZE,1414,43,850,43,1
191,throw,THROW,THROW,1456,43,769,43,1
192,spider,SPIDER,SPIDER,843,43,741,43,1
193,dreamsomething,DREAM (SOMETHING),DREAM (SOMETHING),1920,43,678,43,1
194,warm,WARM,WARM,1232,43,676,43,1
195,flow,FLOW,FLOW,2003,43,608,43,1
196,and,AND,AND,1577,43,596,43,1
197,dirty,DIRTY,DIRTY,1230,43,523,43,1
198,chew,CHEW,CHEW,321,43,460,43,1
199,needleforsewing,NEEDLE (FOR SEWING),NEEDLE (FOR SEWING),1382,43,400,43,1
200,thousand,THOUSAND,THOUSAND,1843,43,310,43,1
201,hideconceal,HIDE (CONCEAL),HIDE (CONCEAL),602,43,194,43,1
202,fight,FIGHT,FIGHT,1423,43,147,43,1
203,push,PUSH,PUSH,1452,43,146,43,1
204,play,PLAY,PLAY,1413,43,144,43,1
205,road,ROAD,ROAD,667,43,142,43,1
206,sick,SICK,SICK,1847,43,91,43,1
207,board,BOARD,BOARD,1227,43,72,43,1
208,some,SOME,SOME,1241,43,67,43,1
209,fruit,FRUIT,FRUIT,1507,42,875,42,1
210,hunt,HUNT,HUNT,1435,42,777,42,1
211,smellperceive,SMELL (PERCEIVE),SMELL (PERCEIVE),1586,42,721,42,1
212,yawn,YAWN,YAWN,1028,42,506,42,1
213,if,IF,IF,1459,42,374,42,1
214,dance,DANCE,DANCE,1879,42,88,42,1
215,thunder,THUNDER,THUNDER,1150,41,854,41,1
216,cooksomething,COOK (SOMETHING),COOK (SOMETHING),1100,41,678,41,1
217,shoot,SHOOT,SHOOT,1172,41,594,41,1
218,cut,CUT,CUT,1432,41,249,41,1
219,float,FLOAT,FLOAT,1574,41,146,41,1
220,garden,GARDEN,GARDEN,586,41,114,41,1
221,arm,ARM,ARM,1673,41,88,41,1
222,bathe,BATHE,BATHE,138,41,86,41,1
223,centipede,CENTIPEDE,CENTIPEDE,1974,41,82,41,1
224,lazy,LAZY,LAZY,1564,41,82,41,1
225,askinquire,ASK (INQUIRE),ASK (INQUIRE),1309,41,81,41,1
226,ghost,GHOST,GHOST,1175,41,80,41,1
227,hairhead,HAIR (HEAD),HAIR (HEAD),2648,41,68,41,1
228,lightning,LIGHTNING,LIGHTNING,1654,40,835,40,1
229,rainbow,RAINBOW,RAINBOW,1733,40,100,40,1
230,bamboo,BAMBOO,BAMBOO,1927,40,81,40,1
231,plantsomething,PLANT (SOMETHING),PLANT (SOMETHING),1486,39,658,39,1
232,lake,LAKE,LAKE,624,39,593,39,1
233,turtle,TURTLE,TURTLE,112,39,82,39,1
234,fatorganicsubstance,FAT (ORGANIC SUBSTANCE),FAT (ORGANIC SUBSTANCE),323,38,659,38,1
235,man,MAN,MAN,1554,38,155,38,1
236,far,FAR,FAR,1406,37,882,37,1
237,in,IN,IN,1460,37,484,37,1
238,we,WE,WE,1212,37,255,37,1
239,say,SAY,SAY,1458,36,893,36,1
240,hide,HIDE,HIDE,2486,36,390,36,1
241,scratch,SCRATCH,SCRATCH,1436,35,801,35,1
242,at,AT,AT,1461,35,464,35,1
243,weexclusive,WE (EXCLUSIVE),WE (EXCLUSIVE),1130,35,228,35,1
244,wipe,WIPE,WIPE,1454,35,134,35,1
245,behungry,BE HUNGRY,BE HUNGRY,1533,35,82,35,1
246,oldused,OLD (USED),OLD (USED),2113,35,77,35,1
247,fearbeafraid,FEAR (BE AFRAID),FEAR (BE AFRAID),1419,34,891,34,1
248,heorshe,HE OR SHE,HE OR SHE,2642,34,728,34,1
249,branch,BRANCH,BRANCH,1531,34,716,34,1
250,faecesexcrement,FAECES (EXCREMENT),FAECES (EXCREMENT),675,34,53,34,1
251,waitfor,WAIT (FOR),WAIT (FOR),1590,34,48,34,1
252,spear,SPEAR,SPEAR,945,32,79,32,1
253,burn,BURN,BURN,2102,31,851,31,1
254,no,NO,NO,1269,28,87,28,1
255,blowofwind,BLOW (OF WIND),BLOW (OF WIND),175,27,869,27,1
256,old,OLD,OLD,1229,26,797,26,1
257,suck,SUCK,SUCK,1421,26,707,26,1
258,beloworunder,BELOW OR UNDER,BELOW OR UNDER,1485,26,699,26,1
259,grow,GROW,GROW,479,26,372,26,1
260,twenty,TWENTY,TWENTY,1710,26,330,26,1
261,smooth,SMOOTH,SMOOTH,1234,26,141,26,1
262,piss,PISS,PISS,592,26,84,26,1
263,shitdefecate,SHIT (DEFECATE),SHIT (DEFECATE),676,26,75,26,1
264,eleven,ELEVEN,ELEVEN,1706,26,38,26,1
265,twelve,TWELVE,TWELVE,1707,26,37,26,1
266,hold,HOLD,HOLD,1448,25,877,25,1
267,split,SPLIT,SPLIT,1437,25,796,25,1
268,rub,RUB,RUB,1449,25,144,25,1
269,chieftain,CHIEFTAIN,CHIEFTAIN,301,25,103,25,1
270,freshwatereel,FRESHWATER EEL,FRESHWATER EEL,1013,25,91,25,1
271,breakdestroyorgetdestroyed,BREAK (DESTROY OR GET DESTROYED),BREAK (DESTROY OR GET DESTROYED),680,25,89,25,1
272,godowndescend,GO DOWN (DESCEND),GO DOWN (DESCEND),2014,25,85,25,1
273,fishhook,FISHHOOK,FISHHOOK,1074,25,84,25,1
274,sister,SISTER,SISTER,1263,25,84,25,1
275,tobacco,TOBACCO,TOBACCO,974,25,84,25,1
276,goupascend,GO UP (ASCEND),GO UP (ASCEND),705,25,83,25,1
277,penis,PENIS,PENIS,1222,25,83,25,1
278,family,FAMILY,FAMILY,194,25,82,25,1
279,nit,NIT,NIT,267,25,82,25,1
280,today,TODAY,TODAY,1283,25,81,25,1
281,yes,YES,YES,1268,25,81,25,1
282,after,AFTER,AFTER,1685,25,79,25,1
283,soul,SOUL,SOUL,811,25,77,25,1
284,bald,BALD,BALD,1125,25,76,25,1
285,club,CLUB,CLUB,1763,25,73,25,1
286,ice,ICE,ICE,617,25,64,25,1
287,understand,UNDERSTAND,UNDERSTAND,1536,25,40,25,1
288,thinofshapeofobject,THIN (OF SHAPE OF OBJECT),THIN (OF SHAPE OF OBJECT),2249,25,39,25,1
289,fifteen,FIFTEEN,FIFTEEN,1709,25,33,25,1
290,oldersister,OLDER SISTER,OLDER SISTER,1758,59,24,24,1
291,pregnant,PREGNANT,PREGNANT,1123,25,24,24,1
292,bedeadordie,BE DEAD OR DIE,BE DEAD OR DIE,2101,24,805,24,1
293,because,BECAUSE,BECAUSE,1157,24,137,24,1
294,flame,FLAME,FLAME,889,24,82,24,1
295,meet,MEET,MEET,1831,24,81,24,1
296,beginorstart,BEGIN OR START,BEGIN OR START,3447,24,78,24,1
297,mistake,MISTAKE,MISTAKE,1293,24,77,24,1
298,animal,ANIMAL,ANIMAL,619,24,71,24,1
299,copulate,COPULATE,COPULATE,549,24,50,24,1
300,west,WEST,WEST,1817,24,23,23,1
301,pound,POUND,POUND,354,23,564,23,1
302,here,HERE,HERE,136,23,142,23,1
303,thatch,THATCH,THATCH,279,23,106,23,1
304,oven,OVEN,OVEN,1143,23,83,23,1
305,scrape,SCRAPE,SCRAPE,1767,23,66,23,1
306,storm,STORM,STORM,858,23,31,23,1
307,cassava,CASSAVA,CASSAVA,925,23,24,23,1
308,sniff,SNIFF,SNIFF,375,23,23,23,1
309,sweetpotato,SWEET POTATO,SWEET POTATO,159,25,22,22,1
310,flyinsect,FLY (INSECT),FLY (INSECT),1504,60,21,21,1
311,youngerbrother,YOUNGER BROTHER,YOUNGER BROTHER,1760,42,21,21,1
312,daughter,DAUGHTER,DAUGHTER,1357,41,21,21,1
313,son,SON,SON,1620,41,21,21,1
314,canoe,CANOE,CANOE,1970,21,109,21,1
315,earthquake,EARTHQUAKE,EARTHQUAKE,6,21,103,21,1
316,youngersister,YOUNGER SISTER,YOUNGER SISTER,1761,43,20,20,1
317,boy,BOY,BOY,1366,26,20,20,1
318,east,EAST,EAST,1877,24,20,20,1
319,bealive,BE ALIVE,BE ALIVE,1422,20,811,20,1
320,there,THERE,THERE,1937,20,141,20,1
321,time,TIME,TIME,892,20,67,20,1
322,hot,HOT,HOT,1286,63,19,19,1
323,cough,COUGH,COUGH,879,44,19,19,1
324,south,SOUTH,SOUTH,1595,23,19,19,1
325,hit,HIT,HIT,1433,19,815,19,1
326,pathorroad,PATH OR ROAD,PATH OR ROAD,2457,19,773,19,1
327,worm,WORM,WORM,1219,19,693,19,1
328,think,THINK,THINK,2271,19,663,19,1
329,oldaged,OLD (AGED),OLD (AGED),2112,19,76,19,1
