rank,concept_id,name,concepticon_gloss,concepticon_id,n_tk,n_an,min_langs,core_pilot
121,back,BACK,BACK,1291,45,933,45,1
122,house,HOUSE,HOUSE,1252,45,897,45,1
123,stone,STONE,STONE,857,44,956,44,1
124,spit,SPIT,SPIT,1440,44,862,44,1
125,rotten,ROTTEN,ROTTEN,1728,44,845,44,1
126,dust,DUST,DUST,2,44,834,44,1
127,correctright,CORRECT (RIGHT),CORRECT (RIGHT),1725,44,803,44,1
128,liedown,LIE DOWN,LIE DOWN,215,44,757,44,1
129,how,HOW,HOW,1239,44,742,44,1
130,blunt,BLUNT,BLUNT,379,44,695,44,1
131,wide,WIDE,WIDE,1243,44,331,44,1
132,sea,SEA,SEA,1474,43,935,43,1
133,fall,FALL,FALL,1280,43,901,43,1
134,count,COUNT,COUNT,1420,43,884,43,1
135,dig,DIG,DIG,1418,43,884,43,1
136,mosquito,MOSQUITO,MOSQUITO,1509,43,875,43,1
137,when,WHEN,WHEN,1238,43,869,43,1
138,squeeze,SQUEEZE,SQUEEZE,1414,43,850,43,1
139,throw,THROW,THROW,1456,43,769,43,1
140,spider,SPIDER,SPIDER,843,43,741,43,1
141,dreamsomething,DREAM (SOMETHING),DREAM (SOMETHING),1920,43,678,43,1
142,warm,WARM,WARM,1232,43,676,43,1
143,flow,FLOW,FLOW,2003,43,608,43,1
144,and,AND,AND,1577,43,596,43,1
145,dirty,DIRTY,DIRTY,1230,43,523,43,1
146,chew,CHEW,CHEW,321,43,460,43,1
147,needleforsewing,NEEDLE (FOR SEWING),NEEDLE (FOR SEWING),1382,43,400,43,1
148,thousand,THOUSAND,THOUSAND,1843,43,310,43,1
149,fruit,FRUIT,FRUIT,1507,42,875,42,1
150,hunt,HUNT,HUNT,1435,42,777,42,1
151,smellperceive,SMELL (PERCEIVE),SMELL (PERCEIVE),1586,42,721,42,1
152,yawn,YAWN,YAWN,1028,42,506,42,1
153,if,IF,IF,1459,42,374,42,1
154,thunder,THUNDER,THUNDER,1150,41,854,41,1
155,cooksomething,COOK (SOMETHING),COOK (SOMETHING),1100,41,678,41,1
156,shoot,SHOOT,SHOOT,1172,41,594,41,1
157,lightning,LIGHTNING,LIGHTNING,1654,40,835,40,1
158,plantsomething,PLANT (SOMETHING),PLANT (SOMETHING),1486,39,658,39,1
159,lake,LAKE,LAKE,624,39,593,39,1
160,fatorganicsubstance,FAT (ORGANIC SUBSTANCE),FAT (ORGANIC SUBSTANCE),323,38,659,38,1
161,far,FAR,FAR,1406,37,882,37,1
162,in,IN,IN,1460,37,484,37,1
163,we,WE,WE,1212,37,255,37,1
164,say,SAY,SAY,1458,36,893,36,1
165,hide,HIDE,HIDE,2486,36,390,36,1
166,scratch,SCRATCH,SCRATCH,1436,35,801,35,1
167,at,AT,AT,1461,35,464,35,1
168,fearbeafraid,FEAR (BE AFRAID),FEAR (BE AFRAID),1419,34,891,34,1
169,heorshe,HE OR SHE,HE OR SHE,2642,34,728,34,1
170,branch,BRANCH,BRANCH,1531,34,716,34,1
171,burn,BURN,BURN,2102,31,851,31,1
172,blowofwind,BLOW (OF WIND),BLOW (OF WIND),175,27,869,27,1
173,old,OLD,OLD,1229,26,797,26,1
174,suck,SUCK,SUCK,1421,26,707,26,1
175,beloworunder,BELOW OR UNDER,BELOW OR UNDER,1485,26,699,26,1
176,grow,GROW,GROW,479,26,372,26,1
177,twenty,TWENTY,TWENTY,1710,26,330,26,1
178,hold,HOLD,HOLD,1448,25,877,25,1
179,split,SPLIT,SPLIT,1437,25,796,25,1
180,bedeadordie,BE DEAD OR DIE,BE DEAD OR DIE,2101,24,805,24,1
181,pound,POUND,POUND,354,23,564,23,1
182,bealive,BE ALIVE,BE ALIVE,1422,20,811,20,1
183,hit,HIT,HIT,1433,19,815,19,1
184,pathorroad,PATH OR ROAD,PATH OR ROAD,2457,19,773,19,1
185,worm,WORM,WORM,1219,19,693,19,1
186,think,THINK,THINK,2271,19,663,19,1
187,child,CHILD,CHILD,2099,18,935,18,1
188,stab,STAB,STAB,1434,18,822,18,1
189,maleperson,MALE PERSON,MALE PERSON,2106,18,812,18,1
190,stick,STICK,STICK,1295,18,777,18,1
191,workactivity,WORK (ACTIVITY),WORK (ACTIVITY),1086,18,776,18,1
192,fasten,FASTEN,FASTEN,1094,18,742,18,1
193,swell,SWELL,SWELL,1573,18,739,18,1
194,rat,RAT,RAT,1490,16,838,16,1
